id;name;title;count;collection_type;auction_type;min_range;max_range;currency;owner
1;index Wooden;South;5754;IMAGEAUDIO;ENGLISH;23216;34799;USD;parse
2;Maldives;Rubber;9664;IMAGE;FLAT;47177;60182;ETH;Hawaii Springs
3;Computer;sticky Gorgeous Oklahoma;5151;VIDEO;FLAT;61379;16143;ETH;SSL
4;actuating Wooden;Focused metrics;6957;VIDEO;FLAT;45208;7989;USD;primary Baby out-of-the-box
5;ADP Avon;blockchains JBOD;824;IMAGE;ENGLISH;64361;76233;ETH;payment Meadow Avon
6;Generic out-of-the-box Branding;Intranet;1600;AUDIO;ENGLISH;22209;70825;ETH;1080p lavender Cayman
7;Versatile backing;Botswana;2845;IMAGE;ENGLISH;4957;17996;ETH;JSON turquoise Loan
8;Shirt Cambridgeshire;Missouri bandwidth;6793;VIDEO;ENGLISH;43172;11130;USD;Tasty
9;ROI deposit Producer;Colorado Hat programming;9749;IMAGEAUDIO;FLAT;34360;7672;INR;cyan (Bouvetoya)
10;JSON;multi-byte matrix Way;9991;IMAGE;FLAT;83062;3813;ETH;Pants
