id;title;keywords;description;image;image_content_type;rating;status;price;brand_size;date_added;date_modified
1;Proactive Island Strategist;customized interface;Concrete;../fake-data/blob/hipster.png;image/png;12886;DISABLED;27872;M;2022-01-18;2022-01-17
2;ROI;International;Central Movies;../fake-data/blob/hipster.png;image/png;93520;AVAILABLE;57737;XXL;2022-01-17;2022-01-17
3;neural;up;Refined mindshare;../fake-data/blob/hipster.png;image/png;10188;DISABLED;7707;S;2022-01-17;2022-01-18
4;24;Gambia Clothing Radial;pink hard loyalty;../fake-data/blob/hipster.png;image/png;92431;RESTRICTED;77404;S;2022-01-17;2022-01-18
5;Circles California auxiliary;Officer sky;bifurcated synthesize;../fake-data/blob/hipster.png;image/png;99590;DISABLED;31004;L;2022-01-17;2022-01-18
6;Gloves;cross-platform;sensor bypassing Business-focused;../fake-data/blob/hipster.png;image/png;55855;AVAILABLE;27657;S;2022-01-18;2022-01-17
7;Rial Configuration;sticky Steel hacking;Configuration Bedfordshire;../fake-data/blob/hipster.png;image/png;62153;RESTRICTED;89074;XXL;2022-01-17;2022-01-18
8;Tasty;local;override initiatives;../fake-data/blob/hipster.png;image/png;9714;RESTRICTED;73076;XXL;2022-01-18;2022-01-17
9;metrics;Ergonomic;state Practical;../fake-data/blob/hipster.png;image/png;73924;RESTRICTED;15832;S;2022-01-18;2022-01-18
10;info-mediaries Market holistic;middleware Accountability;quantify Ergonomic haptic;../fake-data/blob/hipster.png;image/png;61637;RESTRICTED;4229;S;2022-01-18;2022-01-18
