id;date;details;sent_date;format;user_id;brand_id
1;2022-01-18T00:58:33;Pants;2022-01-17T14:18:02;EMAIL;3405;81146
2;2022-01-17T16:32:24;port;2022-01-17T16:57:47;SMS;86437;18722
3;2022-01-18T07:41:05;program next-generation;2022-01-18T02:06:12;EMAIL;97870;11395
4;2022-01-17T21:20:36;reboot payment;2022-01-17T19:58:13;SMS;67108;40188
5;2022-01-17T13:33:24;Sports invoice;2022-01-18T08:32:24;SMS;25250;97027
6;2022-01-18T03:38:54;Officer stable Intelligent;2022-01-18T00:56:03;PARCEL;64519;40687
7;2022-01-17T14:43:36;Salad;2022-01-17T19:03:26;SMS;49244;268
8;2022-01-17T23:26:05;parallelism deposit Berkshire;2022-01-17T14:06:32;EMAIL;18345;42331
9;2022-01-17T16:10:57;Usability Jewelery;2022-01-17T22:34:45;SMS;77847;4595
10;2022-01-18T04:57:27;parsing;2022-01-18T10:55:23;EMAIL;31675;99829
