id;name;handle;asset_type;type
1;Right-sized blue;Car Dynamic;AUDIO;PHYGITAL
2;Chair Alley Concrete;iterate infrastructures client-server;VIDEO;MINIATURE_COLLECTIBLE
3;web-enabled;Computer portal Wisconsin;VIDEO;LIMITED_EDITION
4;Data Granite;Silver structure;VIDEO;LIMITED_EDITION
5;Graphic XML Metal;Infrastructure;AUDIO;LIMITED_EDITION
6;Rustic Sports synthesize;Industrial Buckinghamshire SSL;AUDIO;MINIATURE_COLLECTIBLE
7;infrastructures heuristic;online;AUDIO;LIMITED_EDITION
8;Rustic SQL;black Principal;AUDIO;MINIATURE_COLLECTIBLE
9;Ohio Rubber demand-driven;feed Senior Agent;IMAGE;MINIATURE_COLLECTIBLE
10;context-sensitive;Tala Architect Metical;VIDEO;PHYGITAL
