id;date;details;sent_date;format;user_id;brand_id
1;2022-01-18T01:06:33;Pants;2022-01-17T14:26:02;EMAIL;3405;81146
2;2022-01-17T16:40:24;port;2022-01-17T17:05:47;SMS;86437;18722
3;2022-01-18T07:49:05;program next-generation;2022-01-18T02:14:12;EMAIL;97870;11395
4;2022-01-17T21:28:36;reboot payment;2022-01-17T20:06:13;SMS;67108;40188
5;2022-01-17T13:41:24;Sports invoice;2022-01-18T08:40:24;SMS;25250;97027
6;2022-01-18T03:46:54;Officer stable Intelligent;2022-01-18T01:04:03;PARCEL;64519;40687
7;2022-01-17T14:51:36;Salad;2022-01-17T19:11:26;SMS;49244;268
8;2022-01-17T23:34:05;parallelism deposit Berkshire;2022-01-17T14:14:32;EMAIL;18345;42331
9;2022-01-17T16:18:57;Usability Jewelery;2022-01-17T22:42:45;SMS;77847;4595
10;2022-01-18T05:05:27;parsing;2022-01-18T11:03:23;EMAIL;31675;99829
