id;title;status;date
1;Kentucky;DRAFT;2022-01-18T08:39:33
2;Investment;FAILED;2022-01-17T13:57:34
3;Representative B2B;FAILED;2022-01-17T12:17:26
4;cross-platform grow;DRAFT;2022-01-17T19:44:51
5;disintermediate internet matrix;SUBMITTED;2022-01-18T01:38:59
6;SQL;IN_PROGRESS;2022-01-18T08:14:36
7;Executive Operations;IN_PROGRESS;2022-01-17T14:50:16
8;Strategist up;FAILED;2022-01-18T04:43:12
9;e-tailers Technician navigating;SUCCESSFUL;2022-01-18T04:05:57
10;Small synthesizing;STARTED;2022-01-17T18:32:31
